delay,ion_y,ion_QS,ion_NA,ion_NA_reconstructed
7.0,0.6246127461,0.6554388125811151,0.5953895301207835,0.5954346316103616
5.0,0.6249939129,0.6557991075934246,0.5960627275236401,0.595965171683296
3.0,0.6254848441,0.6562463156162438,0.596879285896661,0.5967446139099193
1.0,0.6260419897,0.6567475543927321,0.597776291225089,0.5976868607017259
0.0,0.6263309935,0.6570075001090196,0.5982352664116418,0.5981851890822506
-1.0,0.6266191758,0.6572676240581016,0.5986908911538578,0.5986820349965984
-3.0,0.6271700865,0.6577699624547191,0.5995619142409423,0.5996130849579502
-5.0,0.6276502439,0.6582178889457526,0.600330964593059,0.6003734670822203
-7.0,0.6280190346,0.6585766260110495,0.6009441428320048,0.6008828853452974
-9.0,0.6282422939,0.6588161337087853,0.6013547801986836,0.6010985369921853
-11.0,0.6282956677,0.6589143851022621,0.6015269133106196,0.6010201504742276
-13.0,0.6281684755,0.6588605237106724,0.6014391308239979,0.6006881189828006
-15.0,0.6278672724,0.6586573695177853,0.6010886753935162,0.6001751094745944
-17.0,0.6274179729,0.6583228411708171,0.6004956586295038,0.5995725736878036
-19.0,0.6268654394,0.6578899160988951,0.5997065662938701,0.5989744953233429
-21.0,0.6262698879,0.6574047569675705,0.5987952635654921,0.5984613087467798
-23.01,0.6256975173,0.6569204052908522,0.5978548017925622,0.5980855473286004
-25.01,0.62522282,0.6565003027610381,0.5970068091415659,0.5978713387450002
-27.01,0.6249010922,0.6561955953369843,0.5963575740651219,0.5978028880911519
-29.01,0.6247713787,0.6560469016078306,0.5959994171351323,0.5978395877038484
-31.01,0.6248470839,0.6560748102611685,0.5959890403433933,0.597925610838807
-33.01,0.625113451,0.6562756987101364,0.596335562305726,0.5980041283329021
-35.01,0.6255295392,0.6566215234183008,0.5969967999240633,0.5980307311550688
-37.01,0.6260344092,0.6570637407850686,0.597885198715813,0.5979832040128022
-39.01,0.6265564183,0.6575405204941044,0.5988822623797507,0.5978656905875648
-41.01,0.6270239766,0.6579857538349376,0.599857939258595,0.5977065397798685
-43.01,0.6273758942,0.6583382110249028,0.6006902606696983,0.5975504749147602
-45.01,0.6275695822,0.6585494736730336,0.6012811912806721,0.5974469416984953
-47.01,0.6275858643,0.6585897225617728,0.6015666803649424,0.5974373340182183
-49.01,0.6274298953,0.6584508874814592,0.6015209851005683,0.5975440689695135
-51.01,0.6271284436,0.6581469873994154,0.6011563271484958,0.5977640739263042
-53.01,0.6267243993,0.6577117449905643,0.6005187820548207,0.5980682120200249
-55.01,0.6262696937,0.657193821963255,0.5996809246350369,0.5984067516428313
-57.01,0.6258178913,0.6566503137189366,0.5987320127944711,0.5987195564089899
-59.01,0.625417567,0.6561394041475197,0.5977671910945038,0.5989486131968489
-61.01,0.6251072697,0.6557132092931426,0.5968773928079931,0.5990500758145911
-63.01,0.6249124647,0.6554117668197046,0.5961409244953515,0.5990032317693408
-65.01,0.624844433,0.6552588883526915,0.5956168724874081,0.5988145767246356
-67.01,0.6249007943,0.6552602848099686,0.5953403027892925,0.5985162859797728
-69.02,0.6250682538,0.6554051192456303,0.5953200674187487,0.5981577325972731
-71.02,0.625321082,0.6556651003868921,0.5955376516496451,0.5978027248718776
-73.02,0.6256292024,0.6560035660808143,0.595949447808982,0.5975067199717538
-75.02,0.6259586043,0.656378789366582,0.5964943004812501,0.5973135504347007
-77.02,0.6262755693,0.656750045797841,0.5971016125357658,0.5972465597083254
-79.02,0.6265504199,0.6570824695912401,0.5977017773441022,0.5973060038462443
-81.02,0.6267608528,0.6573504141465739,0.5982356903914592,0.5974712245721483
-83.02,0.6268941959,0.6575390554719196,0.5986610334315263,0.5977066862770981
-123.05,0.6262463686,0.6569836813063761,0.5982092214622843,0.5981285284121325
-163.07,0.626233583,0.656982003686936,0.5981425998881857,0.5981900041887461
-203.1,0.626193928,0.6569819149679539,0.5981513120763307,0.5981905480123801
-243.13,0.6262248056,0.6569819149679539,0.5981464731893362,0.5981905525373745
-283.15,0.6262315918,0.656981914967954,0.5981816201480236,0.598190552537608
-323.18,0.6262235019,0.656981914967954,0.5982048735067739,0.5981905525375999
-363.21,0.6262122327,0.656981914967954,0.5982248729585227,0.5981905525376275
-403.23,0.6262245337,0.6569819149679541,0.5982345343292306,0.598190552537629
-443.26,0.6262376546,0.656981914967954,0.5982520155678805,0.598190552537629
-483.29,0.626240266,0.6569819149679539,0.5982683917248336,0.598190552537629
