,t(fs),t(au),Field(t),Apot(t)
333,-5.082604992806071,-210.1218704,0.0003492675579,-0.004163753096
334,-5.074984895195136,-209.8068451,0.0003533390902,-0.004274425698
335,-5.067364797584201,-209.4918198,0.0003572861894,-0.004386361531
336,-5.059744699973266,-209.1767945,0.0003611013173,-0.004499520213
337,-5.052124602362331,-208.8617692,0.0003647767981,-0.004613858964
338,-5.044504504751396,-208.5467439,0.0003683048215,-0.004729332565
339,-5.036884407140461,-208.2317186,0.0003716774444,-0.004845893315
340,-5.029264309529526,-207.9166933,0.0003748865934,-0.004963490991
341,-5.0216442119185905,-207.601668,0.0003779240678,-0.005082072806
342,-5.014024114307656,-207.2866427,0.0003807815426,-0.00520158337
343,-5.006404019115606,-206.9716175,0.0003834505707,-0.005321964652
344,-4.99878392150467,-206.6565922,0.0003859225872,-0.005443155939
345,-4.991163823893736,-206.3415669,0.0003881889118,-0.005565093805
346,-4.9835437262828,-206.0265416,0.000390240753,-0.005687712068
347,-4.9759236286718656,-205.7115163,0.0003920692116,-0.005810941763
348,-4.968303531060931,-205.396491,0.0003936652847,-0.005934711103
349,-4.960683433449995,-205.0814657,0.0003950198697,-0.006058945448
350,-4.953063335839061,-204.7664404,0.0003961237689,-0.006183567279
351,-4.945443238228125,-204.4514151,0.0003969676934,-0.006308496162
352,-4.937823140617191,-204.1363898,0.0003975422685,-0.006433648723
353,-4.930203043006255,-203.8213645,0.0003978380379,-0.006558938624
354,-4.922582945395321,-203.5063392,0.0003978454691,-0.006684276534
355,-4.914962847784386,-203.1913139,0.0003975549588,-0.006809570109
356,-4.907342750173451,-202.8762886,0.0003969568378,-0.006934723968
357,-4.8997226549814,-202.5612634,0.0003960413769,-0.007059639674
358,-4.892102557370465,-202.2462381,0.0003947987929,-0.007184215719
359,-4.88448245975953,-201.9312128,0.000393219254,-0.007308347502
360,-4.876862362148595,-201.6161875,0.0003912928867,-0.00743192732
361,-4.86924226453766,-201.3011622,0.0003890097817,-0.007554844354
362,-4.8616221669267246,-200.9861369,0.0003863600003,-0.007676984657
363,-4.85400206931579,-200.6711116,0.0003833335815,-0.007798231148
364,-4.846381971704854,-200.3560863,0.0003799205487,-0.007918463607
365,-4.838761874093921,-200.041061,0.0003761109171,-0.008037558667
366,-4.831141776482985,-199.7260357,0.0003718947003,-0.008155389816
367,-4.8235216788720505,-199.4110104,0.0003672619183,-0.008271827397
368,-4.815901581261115,-199.0959851,0.0003622026052,-0.008386738613
369,-4.80828148365018,-198.7809598,0.0003567068163,-0.008499987527
370,-4.800661386039246,-198.4659345,0.0003507646371,-0.008611435077
371,-4.793041290847195,-198.1509093,0.0003443661905,-0.00872093908
