,t(fs),t(au),Field(t),Apot(t)
1214,1.630700852214933,67.41541269,1.7526400000016096e-06,-0.31938957749999997
1215,1.63832094958398,67.73043798,1.8672799999980283e-06,-0.32845720600000006
1216,1.6459410469530262,68.04546327,1.959419999999351e-06,-0.3373383222
1217,1.6535611445639613,68.36048857,2.0307099999998524e-06,-0.34603120709999996
1218,1.6611812419330079,68.67551386,2.0827500000000776e-06,-0.3545342297
1219,1.6688013393020544,68.99053915,2.117120000002387e-06,-0.36284584900000005
1220,1.676421436671101,69.30556444,2.1353400000007072e-06,-0.37096461189999996
1221,1.684041534282036,69.62058974,2.138909999997718e-06,-0.37888915489999997
1222,1.6916616316510824,69.93561503,2.1292600000007156e-06,-0.3866182026
1223,1.6992817290201292,70.25064032,2.1077799999998093e-06,-0.39415056899999995
1224,1.7069018266310643,70.56566562,2.075790000000133e-06,-0.40148515600000007
1225,1.7145219240001106,70.88069091,2.0345599999992137e-06,-0.4086209546999999
1226,1.7221420213691574,71.1957162,1.9852899999991958e-06,-0.4155570437
1227,1.7297621187382037,71.51074149,1.9290999999990732e-06,-0.42229258940000003
1228,1.7373822163491388,71.82576679,1.8670899999996549e-06,-0.4288268464
1229,1.7450023137181851,72.14079208,1.800240000002229e-06,-0.4351591556
1230,1.752622411087232,72.45581737,1.7295100000029595e-06,-0.4412889456
1231,1.7602425086981666,72.77084267,1.65573999999849e-06,-0.44721573110000007
1232,1.7678626060672133,73.08586796,1.5797499999976872e-06,-0.45293911259999997
1233,1.7754827034362597,73.40089325,1.5022799999993286e-06,-0.4584587761
1234,1.7831028008053065,73.71591854,1.4239999999998698e-06,-0.4637744925
1235,1.7907228984162415,74.03094384,1.3455300000020376e-06,-0.46888611729999996
1236,1.798342995785288,74.34596913,1.26740999999847e-06,-0.4737935893
1237,1.8059630931543345,74.66099442,1.1901399999993123e-06,-0.47849693090000006
1238,1.8135831907652695,74.97601972,1.1141299999985893e-06,-0.48299624640000005
1239,1.821203288134316,75.29104501,1.039799999999827e-06,-0.48729172209999994
1240,1.8288233855033627,75.6060703,9.674500000000918e-07,-0.4913836255
1241,1.8364434831142977,75.9210956,8.973599999999998e-07,-0.4952723037
1242,1.844063580483344,76.23612089,8.297900000002467e-07,-0.49895818379999995
1243,1.8516836778523909,76.55114618,7.649000000001932e-07,-0.5024417711000001
1244,1.8593037752214372,76.86617147,7.028600000000274e-07,-0.5057236488
1245,1.8669238728323723,77.18119677,6.437780000010523e-07,-0.508804477
1246,1.8745439702014186,77.49622206,5.877339999994791e-07,-0.5116849912
1247,1.8821640675704654,77.81124735,5.347749999998902e-07,-0.5143660027
1248,1.8897841651814005,78.12627265,4.849210000004711e-07,-0.5168483959000001
1249,1.8974042625504468,78.44129794,4.3816499999994873e-07,-0.5191331288
1250,1.9050243599194936,78.75632323,3.9447700000017766e-07,-0.521221231
1251,1.91264445728854,79.07134852,3.538090000004823e-07,-0.5231138029999999
1252,1.920264554899475,79.38637382,3.160909999994077e-07,-0.5248120156
1253,1.9278846522685213,79.70139911,2.8124099999988356e-07,-0.5263171077
1254,1.9355047496375681,80.0164244,2.4916300000012506e-07,-0.5276303859
1255,1.943124847248503,80.3314497,2.197500000001261e-07,-0.5287532232999999
1256,1.9507449446175495,80.64647499,1.928869999999125e-07,-0.5296870588000001
1257,1.9583650419865961,80.96150028,1.6844999999997973e-07,-0.5304333944
1258,1.9659851395975312,81.27652558,1.463119999999679e-07,-0.5309937958
1259,1.9736052369665777,81.59155087,1.2634249999996482e-07,-0.5313698900000001
1260,1.9812253343356243,81.90657616,1.0840819999997182e-07,-0.5315633644000001
1261,1.9888454317046707,82.22160145,9.237550000000235e-08,-0.5315759653
1262,1.9964655293156057,82.53662675,7.811170000008791e-08,-0.5314094974
1263,2.0040856266846525,82.85165204,6.548599999984042e-08,-0.5310658214999999
1264,2.011705724053699,83.16667733,5.436900000002631e-08,-0.5305468537000001
1265,2.019325821664634,83.48170263,4.463799999987819e-08,-0.5298545641999999
1266,2.0269459190336803,83.79672792,3.616999999988754e-08,-0.5289909754
1267,2.034566016402727,84.11175321,2.885200000007221e-08,-0.527958161
1268,2.0421861137717734,84.4267785,2.2571000000450037e-08,-0.5267582446000001
1269,2.0498062113827085,84.7418038,1.7222999999268185e-08,-0.5253933984
1270,2.057426308751755,85.05682909,1.2710999999950012e-08,-0.5238658410999999
1271,2.0650464061208016,85.37185438,8.939000000277031e-09,-0.5221778374
1272,2.0726665037317367,85.68687968,5.8240000001472114e-09,-0.5203316962
1273,2.080286601100783,86.00190497,3.2839999998882097e-09,-0.5183297687000001
1274,2.08790669846983,86.31693026,1.2459999993580384e-09,-0.5161744482
1275,2.095526795838876,86.63195555,-3.5800000030422607e-10,-0.5138681675000001
1276,2.103146893449811,86.94698085,-1.5899999997182057e-09,-0.5114133976
1277,2.1107669908188575,87.26200614,-2.5050000008325357e-09,-0.5088126466999999
1278,2.1183870881879043,87.57703143,-3.152999999977979e-09,-0.5060684588999999
1279,2.126007185798839,87.89205673,-3.581000000002499e-09,-0.5031834114
1280,2.1336272831678857,88.20708202,-3.825999999457208e-09,-0.5001601151999999
1281,2.141247380536932,88.52210731,-3.9299999990416445e-09,-0.4970012113000001
