,t_au,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6,Field_7,Field_8,Field_9,Field_10,Field_11,Field_12,Field_13,Field_14,Field_15,Field_16,Field_17,Field_18
5798,449.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5799,449.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5800,450.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5801,450.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5802,450.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5803,450.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5804,451.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5805,451.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5806,451.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5807,451.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5808,452.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5809,452.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5810,452.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5811,452.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5812,453.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5813,453.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5814,453.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5815,453.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5816,454.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5817,454.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5818,454.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
